no;date_publish;province;source_web;url;key_word;date_access;species;kabupaten_m;quantity;news_publish;news_title;news_content
1;09/11/2019;sumatera utara;bbc_news;https://www.bbc.com/indonesia/indonesia-50342554;"babi ""mati"" ""sumatera utara"" ""2019""";09/10/2024;domestic;Dairi, Humbang Hasundutan, Deli Serdang, Medan, Karo, Toba Samosir, Serdang Bedagai, Tapanuli Utara, Tapanuli Tengah, Tapanuli Selatan, dan Samosir.;4682;;;
2;21/12/2019;sumatera utara;voa_indonesia;https://www.voaindonesia.com/a/demam-babi-afrika-mewabah-di-sumut-30-000-babi-mati/5213961.html;"babi ""mati"" ""sumatera utara"" ""2019""";09/10/2024;domestic;Dairi, Humbang Hasundutan, Deli Serdang, Karo, Toba Samosir, Tapanuli Utara, Tapanuli Tengah, Tapanuli Selatan, Samosir, Simalungun, Pakpak Bharat, Langkat, Tebing Tinggi, Pematang Siantar, Serdang Bedagai dan Medan;30000;;;
3;08/11/2019;sumatera utara;cnbc_indonesia;https://www.cnbcindonesia.com/news/20191108141410-4-113768/mirip-china-flu-babi-indikasi-serang-ribuan-babi-di-sumut;"babi ""mati"" ""sumatera utara"" ""2019""";09/10/2024;domestic;;4682;;;
4;07/11/2019;sumatera utara;kompas;https://www.kompas.id/baca/utama/2019/11/07/kolera-mewabah-lebih-dari-4-600-babi-mati-di-sumut/;"babi ""mati"" ""sumatera utara"" ""2019""";09/10/2024;domestic;;4600;;;
5;07/12/2019;sumatera utara;antara_sumbar;https://sumbar.antaranews.com/berita/311600/22985-ekor-babi-mati-di-sumut-akibat-virus-kolera-babi;"babi ""mati"" ""sumatera utara"" ""2019""";09/10/2024;domestic;Dairi, Humbang Hasundutan, Deli Serdang, Medan, Karo, Toba Samosir, Serdang Bedagai, Tapanuli Utara, Tapanuli Tengah, Tapanuli Selatan, Samosir, Simalungun, Pakpak Bharat, Tebing Tinggi, Siantar, dan Langkat;22985;;;
6;07/12/2019;sumatera utara;kompas;https://www.kompas.id/baca/utama/2019/12/07/kematian-ternak-akibat-demam-babi-afrika-masih-terjadi-di-sumut;"babi ""mati"" ""sumatera utara"" ""2019""";09/10/2024;domestic;;23000;;;
7;26/12/2019;sumatera utara;cnbc_indonesia;https://www.cnbcindonesia.com/news/20191226184808-4-125866/wabah-flu-babi-serang-sumut-sudah-mengkhawatirkan;"babi ""mati"" ""sumatera utara"" ""2019""";09/10/2024;domestic;;27070;;;
8;09/10/2019;sumatera utara;antara;https://www.antaranews.com/berita/1104284/puluhan-ternak-babi-mati-mendadak-di-tapanuli-utara;"babi ""mati"" ""sumatera utara"" ""2019""";09/10/2024;domestic;tapanuli utara;;;;
9;10/11/2019;sumatera utara;kompas;https://sains.kompas.com/read/2019/11/10/170300323/4.682-babi-di-sumut-mati-karena-penyakit-hog-cholera-apa-itu-?page=all;"babi ""mati"" ""sumatera utara"" ""2019""";09/10/2024;domestic;;4682;;;
10;27/12/2019;sumatera utara;cnbc_indonesia;https://www.cnbcindonesia.com/news/20191227135211-4-126035/flu-babi-kepung-sumut-jutaan-babi-di-ri-harus-diselamatkan;"babi ""mati"" ""sumatera utara"" ""2019""";09/10/2024;domestic;;27070;;;
11;09/12/2019;sumatera utara;kompas;https://www.kompas.id/baca/nusantara/2019/12/09/peternak-babi-sumut-tunggu-sikap-pemerintah;"babi ""mati"" ""sumatera utara"" ""2019""";09/10/2024;domestic;;;;;
