"";"X.1";"X";"no";"date_publish";"province";"source_web";"url";"key_word";"date_access";"species";"kabupaten_m";"quantity";"news_publish";"news_title";"news_content"
"1";1;1;1;"09/11/2019";"sumatera utara";"bbc_news";"https://www.bbc.com/indonesia/indonesia-50342554";"babi ""mati"" ""sumatera utara"" ""2019""";"09/10/2024";"domestic";"Dairi, Humbang Hasundutan, Deli Serdang, Medan, Karo, Toba Samosir, Serdang Bedagai, Tapanuli Utara, Tapanuli Tengah, Tapanuli Selatan, dan Samosir.";"4682";"";NA;NA
"2";2;2;2;"21/12/2019";"sumatera utara";"voa_indonesia";"https://www.voaindonesia.com/a/demam-babi-afrika-mewabah-di-sumut-30-000-babi-mati/5213961.html";"babi ""mati"" ""sumatera utara"" ""2019""";"09/10/2024";"domestic";"Dairi, Humbang Hasundutan, Deli Serdang, Karo, Toba Samosir, Tapanuli Utara, Tapanuli Tengah, Tapanuli Selatan, Samosir, Simalungun, Pakpak Bharat, Langkat, Tebing Tinggi, Pematang Siantar, Serdang Bedagai dan Medan";"30000";"";NA;NA
"3";3;3;3;"08/11/2019";"sumatera utara";"cnbc_indonesia";"https://www.cnbcindonesia.com/news/20191108141410-4-113768/mirip-china-flu-babi-indikasi-serang-ribuan-babi-di-sumut";"babi ""mati"" ""sumatera utara"" ""2019""";"09/10/2024";"domestic";"";"4682";"08/11/2019 14:39";"Mirip China, Flu Babi Indikasi Serang Ribuan Babi di Sumut";"Jakarta, CNBC Indonesia - Menteri Pertanian (Mentan) Syahrul Yasin Limpo mengatakan pihaknya memperketat isolasi menyusul kematian ribuan babi di Sumatera Utara (Sumut) diduga akibat virus flu babi Afrika (African swine fever/ASF). Flu babi telah membuat China pusing belakangan ini.Ia mengatakan sudah mengirim surat kepada Gubernur dan Bupati terkait untuk melaksanakan isolasi untuk mencegah meluasnya penyakit. Ia megatakan sementara ini telah dibentuk desk di tingkat nasional, provinsi, kabupaten sampai ke tingkat peternakan.Pilihan RedaksiTerima Kasih Babi, AS-China Makin MesraBukan Perang Dagang, Fokus China Buat Babi Sebesar BeruangDasar Babi Bikin Pening, Inflasi China Jadi TinggiHari ini saya menyurat kepada Gubernur dan Bupati terkait agar benar diisolasi. Balai Karantina akan ketat melakukan itu, kata Syahrul di Jakarta, Jumat (8/11)Selain itu, ia mengatakan Kementeriannya juga tengah melakukan pengendalian. Menurutnya, dari kajian akademis yang diterimanya, penyakit ini tidak menular kepada manusia.Banyak berita hoax bahwa itu menjadi cacar babi yang akan menjangkit ke manusia. Dari pendekatan akademis ternyata itu tidak menular kepada manusia tapi ini memang tidak dapat dibiarkan, katanya.Dikutip dari detikcom, Kamis (7/11/2019), Dari data Pemprov Sumatera Utara, total sementara 4.682 ekor babi mati diduga karena flu babi. Dari hasil uji laboratorium sampel bangkai babi yang dilakukan Balai Veteriner Medan, kematian ribuan babi tersebut diduga tidak hanya karena virus kolera babi. Ada temuan dugaan virus flu babi Afrika (African swine fever).Gubernur Sumatera Utara Edy Rahmayadi meminta warga tak membuang bangkai babi ke sungai. Penanganan virus kolera babi dilakukan sambil menunggu bantuan vaksin dan tenaga ahli dari pemerintah pusat.Ternak babi di tujuh kabupaten kota di Sumatera Utara (Sumut) terindikasi African Swine Fever (ASF) atau flu babi. Kepala Balai Veteriner Medan Agustia kepada awak media, hasil uji lab, selain menemukan positif Hog Cholera atau kolera babi, juga ditemukan indikasi adanya ASF atau Flu BabiPenyakit ini sudah menyerang Asia Timur sampai Asia Selatan. Indonesia belum terpapar penyakit ASF. Namun hasil uji kami ada indikasi (flu babi). Penyakit ini bereaksi terhadap uji yang kami lakukan, terang Agustia saat ditemui wartawan di kantornya, Kamis (7/11/2019).[Gambas:Video CNBC]                                         (hoi/hoi)                                                                                Next ArticleVirus Misterius Diduga Picu Kematian Seribuan Babi di Bali"
"4";4;4;4;"07/11/2019";"sumatera utara";"kompas_id";"https://www.kompas.id/baca/utama/2019/11/07/kolera-mewabah-lebih-dari-4-600-babi-mati-di-sumut/";"babi ""mati"" ""sumatera utara"" ""2019""";"09/10/2024";"domestic";"";"4600";"2019-11-07 05:01:21";"Kolera Mewabah, Lebih dari 4.600 Babi Mati di Sumut";"MEDAN, KOMPAS – Penyakit kolera babi mewabah di sejumlah sentra ternak di Sumatera Utara. Dalam sebulan ini, diperkirakan lebih dari 4.600 ekor babi mati akibat kolera. Peternak diminta mengubur bangkai ternak dan tidak membuangnya di sungai. Lebih dari 100 bangkai babi yang ditemukan di Sungai Bedera, Kota Medan, mengganggu kesehatan lingkungan.“Kami telah melakukan uji laboratorium dan menyimpulkan bahwa kematian ribuan ternak babi di Sumut diakibatkan penyakit kolera babi atau hog cholera. Kami pastikan kematian babi tidak disebabkan demam babi Afrika (african swine fever/ASF),” kata Kepala Dinas Ketahanan Pangan dan Peternakan Sumut M Azhar Harahap, di Medan, Rabu (6/11/2019).Penyakit kolera babi yang disebabkan virus demam babi klasik itu, kata Azhar, awalnya mewabah di Kabupaten Dairi dan Pakpak Bharat. Wabah tersebut lalu menyebar ke kabupaten lain seperti Deli Serdang, Simalungun, Karo, Tapanuli Utara, Humbang Hasundutan, Toba Samosir, dan Samosir.Azhar mengatakan, penyakit kolera menyerang peternakan rakyat yang umumnya tidak menerapkan program vaksin dan biosecurity (keamanan biologi). Sementara, peternakan skala menengah atau perusahaan telah menerapkan program vaksin hog cholera dengan baik sehingga tidak terserang meskipun berdekatan dengan peternak lainnya.“Hal ini juga semakin menguatkan bahwa wabah ini memang  penyakit kolera babi karena ternak yang diberi vaksin jenis tersebut ternyata bisa kebal,” katanya.Azhar mengatakan, virus demam babi klasik yang merupakan penyebab kolera babi tidak bisa menjangkit ke manusia.Pantauan Kompas, penyakit kolera babi antara lain menyebar di ratusan peternakan rakyat di Desa Helvetia, Kecamatan Sunggal, Deli Serdang. “Dalam seminggu ini, sudah 20 ekor ternak babi saya mati. Saya merugi Rp 50 juta,” kata Marni Sitohang (45), peternak babi.Marni mengatakan, awalnya ternaknya tidak mau makan. Setelah itu, darah keluar dari hidung dan dubur ternak. Dalam lima hari setelah gejala awal, ternaknya pun mati. Harga ternak babi pun anjlok dari Rp 28.000 menjadi Rp 10.000 per kilogram. Itu pun banyak yang tidak laku.Peternak lalu membuang bangkai babi ke Sungai Bedera. Ratusan bangkai tampak menumpuk dan menimbulkan bau busuk. Peternak tidak mengubur ternak karena jumlahnya yang banyak.Marni mengatakan, para peternak di desa itu tidak memvaksin ternaknya. Mereka umumnya memberi makan ternak dengan ampas tahu, ampas ubi, serta limbah makanan dari restoran dan hotel di Medan.Manajer Wilayah Senior PT Cargill Indonesia Deden Raldos Togatorop, perusahaan bidang pakan ternak, mengatakan, penyakit kolera babi menyebar begitu cepat di Sumut karena peternakan rakyat rata-rata belum menerapkan program vaksin dan biosecurity yang ketat. “Padahal, sebagian besar peternakan babi di Sumut merupakan ternak rakyat,” katanya.Deden mengatakan, peternakan rakyat di Sumut sangat penting untuk mendapat edukasi tentang program vaksin. Saat ini, populasi ternak babi di Sumut mencapai 1,2 juta ekor, tertinggi kedua di Indonesia setelah Nusa Tenggara Timur.Vaksin hog cholera seharusnya diberikan saat lepas sapih di umur satu bulan dan dilakukan pengulangan setiap dua bulan. Harga vaksin ini pun tergolong murah yakni Rp 4.500 untuk sekali vaksin per ekor.“Peternakan yang sudah menerapkan program vaksin ini tidak ada yang terserang penyakit kolera babi. Ini juga semakin menguatkan bahwa wabah ini memang bukan ASF,” kata Deden.Adapun penyakit ASF sebelumnya dilaporkan telah menyebar di China, Pulau Timor, Laos, Filipina, dan Vietnam. Sejumlah kajian memprediksi pada akhir 2019, China bisa kehilangan 350 juta dari 700 juta ekor babi di negara itu. Hingga kini, belum ada vaksin dan pengobatan terhadap ASF."
"5";5;5;5;"07/12/2019";"sumatera utara";"antara_sumbar";"https://sumbar.antaranews.com/berita/311600/22985-ekor-babi-mati-di-sumut-akibat-virus-kolera-babi";"babi ""mati"" ""sumatera utara"" ""2019""";"09/10/2024";"domestic";"Dairi, Humbang Hasundutan, Deli Serdang, Medan, Karo, Toba Samosir, Serdang Bedagai, Tapanuli Utara, Tapanuli Tengah, Tapanuli Selatan, Samosir, Simalungun, Pakpak Bharat, Tebing Tinggi, Siantar, dan Langkat";"22985";"Sabtu, 7 Desember 2019 18:02 WIB";"22.985 ekor babi mati di Sumut akibat virus kolera babi";"Medan (ANTARA) - Dinas Ketahanan Pangan dan Peternakan (DKPP) Sumatera Utara mencatat hingga Sabtu sebanyak 22.985 ekor babi mati di Sumut akibat virus hog cholera atau kolera babi. Sampai saat ini, kematian babi positif karena hog cholera. ASF masih menunggu dari Menteri Pertanian, kata Kepala Bidang Kesehatan Hewan DKPP Sumut Mulkan Harahap, di Medan, Sabtu.Angka 22.985 babi yang mati tersebut menyebar di 16 kabupaten, yakni di Dairi, Humbang Hasundutan, Deli Serdang, Medan, Karo, Toba Samosir, Serdang Bedagai, Tapanuli Utara, Tapanuli Tengah, Tapanuli Selatan, Samosir, Simalungun, Pakpak Bharat, Tebing Tinggi, Siantar, dan Langkat.Menurut dia, dari 16 Kabupaten yang terdapat kematian babi, Deli Serdang merupakan yang tertinggi dengan angka 6.997 ekor, sedangkan yang tercatat kematian paling sedikit di Pematang Siantar sebanyak 12 ekor.Padahal sebenarnya kematian babi akibat hog cholera pertama kali diketahui terjadi di Dairi pada tanggal 25 September, ujarnya.Mengantisipasi meningkatnya jumlah angka kematian babi, pihaknya terus melakukan sosialisasi kepada masyarakat agar menyemprotkan disinfektan, membuka posko, penguburan bangkai babi, dan mencegah masyarakat membuang bangkai babi secara sembarangan.Kami masih terus melakukan sosialisasi, penguburan tetap terhadap bangkai babi, katanya."
"6";6;6;6;"07/12/2019";"sumatera utara";"kompas_id";"https://www.kompas.id/baca/utama/2019/12/07/kematian-ternak-akibat-demam-babi-afrika-masih-terjadi-di-sumut";"babi ""mati"" ""sumatera utara"" ""2019""";"09/10/2024";"domestic";"";"23000";"2019-12-07 19:50:45";"Kematian Ternak akibat Demam Babi Afrika Masih Terjadi di Sumut";"MEDAN, KOMPAS — Demam babi Afrika yang masuk ke Indonesia beberapa bulan ini terus mewabah di 16 kabupaten di Sumatera Utara. Kematian ternak babi sudah lebih dari 23.000 ekor dan hingga kini masih terus berlanjut. Hingga kini, belum ada upaya penanggulangan dan pemberantasan penyakit hewan itu. Pengumuman kejadian wabah penyakit pun belum dilakukan pemerintah.Serangan wabah yang diduga demam babi afrika (african swine fever/ASF) antara lain terjadi di sentra peternakan babi di Desa Helvetia, Kecamatan Sunggal, Kabupaten Deli Serdang, Sumut. Kematian ternak babi hampir terjadi di seluruh peternakan di wilayah itu yang berjumlah sekitar 700 peternakan rakyat.”Peternakan babi adalah penopang ekonomi keluarga di desa ini. Kami sangat terpuruk dengan wabah penyakit ini,” kata Andri Siahaan (33), peternak babi di Desa Helvetia.Menurut Andri, kematian ternak babi yang sangat besar seperti sekarang ini belum pernah menyerang sentra peternakan itu. Para peternak pun tidak tahu harus berbuat apa karena tidak mengenali jenis penyakit itu.Awalnya, pemerintah menyebut ternak babi di Sumut mati karena penyakit hog cholera. Namun, hasil pemeriksaan laboratorium menunjukkan, kematian ternak terindikasi karena virus ASF. Penyakit ASF sampai sekarang belum ada vaksinasi ataupun pengobatannya.Andri mengatakan, para peternak belum mendapat sosialisasi apa pun tentang penyakit ternak itu. Ternak babi pun masih tampak dibawa keluar dari peternakan itu. Tidak ada pembatasan lalu lintas hewan sama sekali. Menurut peternak, hingga kini belum ada tindakan apa pun yang dilakukan pemerintah terhadap mereka.Andri mengatakan, peternak yang umumnya memelihara 50 babi per rumah tangga mengalami kerugian sangat besar. Mereka seharusnya menjual ternak itu pada Natal dan Tahun Baru. Dengan harga Rp 30.000 per kilogram, harga babi sekitar Rp 2,5 juta per ekor.”Sekarang sebagian besar babi mati. Harga babi pun saat ini hanya Rp 10.000 per kilogram. Itu pun tidak laku,” ujarnya.Ketua Pengurus Besar Perhimpunan Dokter Hewan Indonesia Muhammad Munawaroh mengatakan, Menteri Pertanian seharusnya mengumumkan wabah ASF agar penanganan yang dilakukan bisa maksimal sebagaimana diatur dalam Undang-Undang Nomor 18 Tahun 2009 tentang Peternakan dan Kesehatan Hewan.”Tujuan utama deklarasi wabah penyakit ASF adalah mencegah penularan penyakit semakin luas,” katanya.Munawaroh mengingatkan, pemerintah pernah terlambat mendeklarasikan penyakit flu burung (avian influenza) yang mewabah di Indonesia pada tahun 2003. ”Akibatnya, penyakit flu burung sudah telanjur menyerang semua wilayah Indonesia. Padahal, penyebaran penyakit itu seharusnya bisa ditutup di daerah tertentu saja,” ujarnya.Menurut Munawaroh, jika ditakutkan akan menghentikan ekspor, deklarasi wabah ASF bisa dilakukan hanya untuk zona Sumatera Utara. Dengan demikian, ternak babi dari wilayah masih bisa diekspor. ”Lalu lintas ternak babi dari Sumut akan ditutup sehingga ASF tidak menyebar ke daerah lain,” ujarnya.Munawaroh mengatakan, pengumuman kejadian wabah penyakit hewan akan diikuti dengan penutupan daerah tertular, pemberantasan penyakit, pengobatan hewan, pemusnahan hewan tertular, dan pengalokasian dana yang memadai. Pemerintah juga berkewajiban memberikan kompensasi terhadap ternak yang dimusnahkan.Kepala Dinas Ketahanan Pangan dan Peternakan Sumut Azhar Harahap mengatakan, pengumuman wabah penyakit merupakan wewenang Menteri Pertanian dengan melihat sejumlah kriteria, seperti peningkatan jumlah kematian, penyebaran penyakit, dan hasil pemeriksaan laboratorium.”Saat ini kasus ASF tidak menyebar lagi dari 16 kabupaten. Jumlah ternak yang mati sekitar 1,9 persen dari populasi 1,2 juta ekor,” kata Azhar.Azhar mengatakan, pemerintah telah meminta peternak membatasi pengiriman ternak babi antardaerah. Dinas juga membagikan disinfektan kepada peternak untuk meningkatkan biosecurity."
"7";7;7;7;"26/12/2019";"sumatera utara";"cnbc_indonesia";"https://www.cnbcindonesia.com/news/20191226184808-4-125866/wabah-flu-babi-serang-sumut-sudah-mengkhawatirkan";"babi ""mati"" ""sumatera utara"" ""2019""";"09/10/2024";"domestic";"";"27070";"26/12/2019 18:56";"Wabah Flu Babi Serang Sumut, Sudah Mengkhawatirkan?";"Jakarta, CNBC Indonesia - Kementerian Pertanian (Kementan) masih melakukan penerapan biosecurity di level wilayah sampai ke kandang dalam menangani babi yang terjangkit wabah demam babi Afrika atau African Swine Fever (ASF) di Sumatera Utara. Peternak dibantu untuk penguburan babi yang mati.Direktur Kesehatan Hewan Direktorat Jenderal Peternakan dan Kesehatan Hewan (PKH) Kementan Fadjar Sumping menjelaskan penerapan biosecurity adalah pengawasan lalu lintas terhadap ternak babi agar tidak menular atau masuk antar kandang atau antar wilayah.[Kementan] melakukan pengumpulan dan penguburan bangkai, desinfeksi serta memberikan bimbingan teknis [kepada masyarakat], kata Fadjar kepada CNBC Indonesia, Kamis (26/12/2019).Wabah menjangkiti babi di 16 kabupaten/kota di Sumatera Utara. Hingga 11 Desember, jumlah babi mati di Sumatera Utara (Sumut) sudah mencapai 27.070 ekor.Berkaitan dengan penertiban, ada sebuah insiden di peternakan babi di Kecamatan Hamparan Perak, Kabupaten Deli Serdang. Camat Hamparan Perak Amos Karo Karo bersama sejumlah petugas sempat mendapat intimidasi, bahkan petugas sempat terkena pukulan dari segerombolan pria.Dikutip dari detikcom, Selasa (24/12/2019), petugas menerima perlawanan saat merelokasi ternak dari salah satu kandang ke tempat yang sudah ditentukan.Meski babi itu tidak terindikasi terkena ASF, tim yang terdiri dari Satpol PP, dinas terkait, dan Muspika memutuskan tetap merelokasinya yang kemudian dibalas oleh sekelompok orang diduga preman. Menanggapi peristiwa itu, Fadjar meyakini bahwa itu terjadi akibat kesalahpahaman.Pilihan RedaksiNaik Menggila, Babi Makin Bikin Pening ChinaKena Virus Mematikan, Babi RI Haram Masuk Malaysia!Gara-gara Wabah, Impor Babi Vietnam Melonjak Tajam di 2019Saya kira itu satu-satunya kasus dan kemungkinan karena missed komunikasi. Terkait relokasi kandang merupakan kewenangan pemda setempat, kata Fadjar.Ia mengatakan, sejauh ini petugas dan tim dari Kementerian Pertanian di lapangan tidak menemukan masalah dengan para peternak. Ia menekankan, yang diperlukan adalah pencegahan agar virus tidak menyebar ke daerah lain.Kami jelaskan langkah-langkah apa yang harus dilakukan agar peternak dapat terhindar dari penyakit tersebut, juga membantu melakukan desinfeksi kandang dan lingkungannya, membantu penguburan bangkai babi yang mati, katanya.[Gambas:Video CNBC]                                         (hoi/hoi)                                                                                Next ArticleHeboh Babi-Babi yang Bikin Pusing Banyak Negara"
"8";8;8;8;"09/10/2019";"sumatera utara";"antara";"https://www.antaranews.com/berita/1104284/puluhan-ternak-babi-mati-mendadak-di-tapanuli-utara";"babi ""mati"" ""sumatera utara"" ""2019""";"09/10/2024";"domestic";"tapanuli utara";"";"Rabu, 9 Oktober 2019 17:31 WIB";"Puluhan ternak babi mati mendadak di Tapanuli Utara";"Taput (ANTARA) - Puluhan ternak babi di sejumlah desa di Kecamatan Siatasbarita, Kabupaten Tapanuli Utara, Sumatera Utara, mati mendadak yang diduga akibat virus toga yang mengakibatkan penyakit hogcholera .Terkait hal tersebut, Kepala Bidang Peternakan Dinas Pertanian Tapanuli Utara, Ronny Hutasoit, Rabu, mengimbau warga untuk tidak melakukan impor ternak babi dari daerah terjangkit penyakit ternak.Hal itu dilakukan sebagai salah satu langkah pencegahan penyebaran virus yang terindikasi menjadi penyebab matinya puluhan ternak di sejumlah desa di Kecamatan Siatasbarita.Kita imbau, warga tidak impor ternak babi dari luar daerah yang telah lebih dahulu terjangkit penyakit seperti dari Dairi, dan Humbanghasundutan, katanya.Sebab, kata dia, tindakan pencegahan atas penyakit tersebut dapat dilakukan dengan menjaga kebersihan kandang, tidak memasukkan ternak dari luar daerah yang terindikasi terjangkit, serta melakukan vaksinasi.Ronny mengungkapkan, untuk saat ini, pihaknya telah melakukan dua langkah sekaligus dalam menyikapi fenomena puluhan babi mati mendadak yang terjadi di Desa Simorangkir, Desa Panggabean, dan Desa Enda Portibi, Siatasbarita, Taput.Di daerah terjangkit, kita telah melakukan pengobatan atas ternak warga melalui pemberian vitamin dan antivirus. Sementara, untuk ternak warga di luar Kecamatan Siatasbarita, sedang dilakukan vaksinasi, jelasnya.Menurutnya, berdasarkan ciri-ciri yang terlihat dari anatomi ternak, matinya ternak babi di wilayah Siatasbarita disebabkan oleh penularan jenis virus toga yang mengakibatkan penyakit hogcholera .Hal tersebut menjadi kesimpulan sementara pihaknya sembari menunggu penyebab pasti berdasarkan sampel darah ternak terjangkit yang telah diambil oleh petugas laboratorium Balai Veteriner Medan, pada pekan lalu.Jika penyebabnya adalah virus toga, maka dapat dipastikan jika virus tersebut tidak 'zoonosis' atau menular kepada manusia, katanya. Pewarta: Juraidi dan RintoEditor: Triono SubagyoCopyright © ANTARA 2019"
"9";9;9;9;"10/11/2019";"sumatera utara";"kompas_theme";"https://sains.kompas.com/read/2019/11/10/170300323/4.682-babi-di-sumut-mati-karena-penyakit-hog-cholera-apa-itu-?page=all";"babi ""mati"" ""sumatera utara"" ""2019""";"09/10/2024";"domestic";"";"4682";"Kompas.com - 10/11/2019, 17:03 WIB";"4.682 Babi di Sumut Mati karena Penyakit Hog Cholera, Apa Itu?";"4.682 Babi di Sumut Mati karena Penyakit Hog Cholera, Apa Itu?PenulisKOMPAS.com - Hingga Kamis (7/11/2019), virus hog cholera atau kolera babi mewabah di 11 kabupaten Sumatera Utara dan mematikan 4.682 ekor babi.Hingg hari ini, setiap menitnya selalu ada bangkai babi mengambang di sungai dan menimbulkan bau tidak sedap.Kepala Dinas Ketahanan Pangan dan Peternakan Sumatera Utara Azhar Harahap mengatakan, virus hog cholera menyebar dengan cepat pada babi ternak.Virus hog cholera pada ternak babi belum dapat diobati dan pemberian vaksin hanya sebagai upaya pencegahan. Begitu juga dengan pemberian desinfektan dan vitamin.Populasi babi di Sumut ada 1,2 juta. 4.682 ekor mati karena hog cholera, kata Azhar.Baca juga: Hidung Buatan Ini Bisa Deteksi Minyak Babi, Pastikan Makanan HalalHog cholera atau kolera babi - juga dikenal dengan sebutan demam babi klasik - merupakan penyakit sangat fatal yang menyerang babi, karena bisa mematikan.Penyakit ini disebabkan oleh falvivirus, yakni virus demam babi klasik dari genus Pestivirus.Dilansir Encyclopedia Britannica, penyakit babi kolera ditularkan dari babi yang terinfeksi ke babi lain, lewat agen pengangkut.Sebagai contoh, penularan dapat terjadi ketika ada proses pemindahan ternak babi dari satu peternakan ke peternakan lai atau sampah yang digunakan untuk pakan babi yang terkotaminasi.Selain itu, sepatu, pakaian, pisau, peralatan rumah tangga, maupun kendaraan yang digunakan dalam mengelola ternak babi juga bisa menjadi pengantar virus.Dalam rentang waktu empat hari sampai tiga minggu setelah terpapar virus, babi akan mengalami demam tinggi.Tanda-tanda lain agak bervariasi, mulai dari hilang nafsu makan, depresi, mata memerah dan kering, muntah, diare, batuk, hingga sulit bernapas.Pada babi yang memiliki warna terang, biasanya akan nampak ruam kulit. Selain itu, selaput lendir dan tengggorokan dapat meradang, hingga mengalami leukopenia (rendahnya jumlah sel darah putih) parah.Lama kelamaan babi lebih banyak berbaring dan enggan bergerang. Terkadang, babi akan berjalan dengan cara yang aneh, yakni punggung melengkung. Jika sudah parah, babi tak bisa bangkit, koma, dan akhirnya mati.Pemberian vaksin anti babi kolera pada tahap awal muncul gejala mungkin dapat efektif membantu, tapi sedikit yang pulih.Kematian babi karena babi kolera bisa terjadi dalam hitungan hari.Penyakit babi kolera banyak muncul di Eropa, Asia, Amerika Latin, hingga Afrika.Untuk Amerika Serikat, negara itu sudah bebas dari penyakit babi kolera.Bila ada wabah penyakit babi kolera, wajib untuk dilaporkan. Sementara itu, hewan yang terinfeksi babi wajib disembelih dan kawasan hewan yang sakit seharusnya dikarantina.Kontrol utama penyakit babi kolera bisa dilakukan dengan cara vaksinasi.Baca juga: Ilmuwan Hidupkan Otak Babi yang Sudah Mati, Ini Artinya bagi KitaKOMPAS.COM/DEWANTORO Seekor bangkai babi melintas di Sungai Bedagai, di Kecamatan Tanjung Beringin, Serdang Bedagai, Jumat pagi tadi (8/11/2019). Warga mengeluhkan karena baunya menyengat. Di Serdang Bedagai, sudah ada 500 ekor babi yang mati dari total populasi 31.000 ekor.Untuk diketahui, hog cholera tidak menginfeksi manusia dan tidak akan berbahaya jika dagingnya dikonsumsi kita.Aman, tidak bahaya bagi manusia, ungkap Azhar.Selain Azhar, Kepala Balai Veteriner Medan Agustia juga menyampaikan hal yang sama.Iya, masih bisa dikonsumsi tapi harus dimasak dulu. Kenapa masih bisa dikonsumsi karena tidak zoonosis, tidak menular kepada manusia, tapi pig to pig, ujar Agustia.Agustia menambahkan, untuk menghindari penyebaran lebih luas, perlu ada perlakuan di lapangan yang harus mengikuti standar.Pertama, masyarakat tidak membeli ternak babi yang harganya murah. Kedua, masyarakat juga harus menerapkan bio sekuriti, yakni tidak saling menjenguk ternak yang sakit.Ketiga, bangkai babi tidak dibuang ke sungai atau ke hutan melainkan dikubur. Keempat, perlu dilakukan pengetatan lalu lintas ternak dan menjaga sanitasi kandang.Sumber: Kompas.com (Kontributor Medan, Dewantoro)Copyright 2008 - 2024 PT. Kompas Cyber Media (Kompas Gramedia Digital Group). All Rights Reserved."
"10";10;10;10;"27/12/2019";"sumatera utara";"cnbc_indonesia";"https://www.cnbcindonesia.com/news/20191227135211-4-126035/flu-babi-kepung-sumut-jutaan-babi-di-ri-harus-diselamatkan";"babi ""mati"" ""sumatera utara"" ""2019""";"09/10/2024";"domestic";"";"27070";"27/12/2019 14:07";"Flu Babi Kepung Sumut, Jutaan Babi di RI Harus Diselamatkan";"Jakarta, CNBC Indonesia - Peternak babi lokal mengaku khawatir soal wabah demam babi Afrika atau African Swine Fever (ASF) yang menyerang 16 dari 33 kabupaten/kota di Sumatera Utara. Para peternak di luar Sumut meminta distribusi babi dari wilayah terdampak ke daerah lain diminta dihentikan untuk mencegah penyebaran virus flu babi yang mematikan bagi babi.Ketua Gabungan Usaha Peternakan Babi Indonesia (GUPBI) Bali I Ketut Hari Suyasa mengatakan, kemungkinan penyebaran wabah bisa saja masuk melalui transportasi logistik dari Sumatera Utara. Kendaraan dianggap bisa menjadi media penularan, meski babi yang diangkut diyakini bebas dari ASF.Transportasi babi di wilayah terdampak ke wilayah lain harus diantisipasi karena itu bisa menjadi media penular, kata Hari saat dihubungi CNBC Indonesia, Jumat (27/12/2019).Dengan penghentian distribusi, maka babi berisiko menularkan akan terisolasi di wilayah terdampak. Ia berharap ada ketegasan pemerintah untuk mencegah masuknya transportasi pengangkut babi dari Sumatera Utara atau wilayah terdampak flu babi ke daerah lain.Pilihan RedaksiNaik Menggila, Babi Makin Bikin Pening ChinaGawat! Mentan Akui Wabah Flu Babi yang Landa China Masuk RIMemang ini menjadi dilema, di satu sisi memikirkan peternak di Sumatera Utara, namun di sisi lain ada jutaan babi yang perlu diselamatkan, kata Hari.Pada Buku Statistik Peternakan dan Kesehatan Hewan 2018 Kementerian Pertanian, tercatat populasi ternak babi mencapai 8,542 juta ekor pada tahun lalu. Jumlah ini meningkat sekitar 11% dari populasi pada 2014 yang hanya 7,694 juta ekor.Peternak babi di Sumatera Utara biasa mengirim daging ke Jakarta dan juga mengekspornya ke negeri tetangga seperti Malaysia dan Singapura. Pemerintah Malaysia dilaporkan sudah melarang impor masuk ke negaranya.Hari mengaku wabah ASF sampai saat ini belum ditemukan masuk ke Provinsi Bali. Ia mengatakan telah membuat biosecurity di sekitar peternakannya sebagai antisipasi menyebarnya wabah, dibantu juga dinas pertanian dan pemerintah daerah setempat.CNBC Indonesia telah mencoba mengonfirmasi ke Kementerian Pertanian, namun belum ada tanggapan. Sebelumnya, Kamis (26/12/2019), Direktur Kesehatan Hewan Direktorat Jenderal Peternakan dan Kesehatan Hewan (PKH) Kementan Fadjar Sumping mengatakan pihaknya telah menerapkan biosecurity atau pengawasan lalu lintas terhadap ternak babi dari level wilayah sampai ke level peternakan. Tujuannya agar wabah tidak menular atau masuk antar kandang atau antar wilayah. Sejauh ini, ada 16 kabupaten/kota di wilayah Provinsi Sumatera Utara yang berstatus wabah flu babi Afrika. Hingga 11 Desember, jumlah babi mati di Sumatera Utara sudah mencapai 27.070 ekor di 16 kabupaten diduga akibat virus tersebut.[Gambas:Video CNBC]                                         (hoi/hoi)                                                                                Next ArticleVirus Misterius Diduga Picu Kematian Seribuan Babi di Bali"
