;no;date_publish;date_access;doc_id;location;notes;key_word;url;type.of.disease;source_web;news_publish;news_title;news_content;tipe_halaman
1;1;25/02/2022;11/02/2025;MN001;Kinabatangan, Sabah;Four outbreaks on backyard farms were recorded, affecting 212, 7, 78, and 6 domestic pigs respectively. Five wild boar were also affected.;"""babi"", ""bangkai babi"", ""virus ASF"", ""virus babi"", ""kematian babi"", pigs"", ""ASF"", ""Malaysia""";https://www.pig333.com/latest_swine_news/first-asf-outbreak-in-malaysia_17167/;ASF;pig333;25-Feb-21;First ASF outbreak in Malaysia;News, events and news reports of the pig industryThe pig sector events all around the worldWeekly newsletter with all the pig333.com updatesSwine industry news in your emailPig health: news and articles on PRRS, PCV2, biosecurity, etc, Pig disease guide, atlas of pathology, clinical cases…Biocheck.UGent is an independent, risk-based, scientific scoring system for assessing the quality of your on-farm biosecurity.A visual and practical step-by-step guide on how to perform a necropsy on a pig.All the information about ASF: how to recognize the disease, how it is transmitted, pictures of lesions, latest news, guides, etc.Description of the most important diseases and conditions in pigsImages of major swine diseasesPig disease diagnostic toolDefinition for the most commonly used pig termsSimulator that calculates the amount of drug to add to the water when using a flow dispenser.Weekly newsletter with all the pig333.com updatesPig Prices by countries. Pork production and trade.  News of the pig market and the raw materialsThe latest slaughter pig prices in the most important pig markets. Check the evolution of the historical prices in charts and in several currencies.Latest quotations for the main commodities used in pig feed. Historical graphs with the pig price and estimated feed price.Figures & trends in pig numbers, pork production and pork trade.Global production and trade data for the most important raw materialsWeekly newsletter with all the pig333.com updatesArticles on nutrition and pig feeding, characteristics of raw materials and additives for pig feed. Prices of raw materialsLatest quotations for the main commodities used in pig feed. Historical graphs with the pig price and estimated feed price.Technical sheets of the main raw materials and additives used in swine feed. They include a comparison of nutritional values ​​from various sources, productGlobal production and trade data for the most important raw materialsDefinition for the most commonly used pig termsUse this tool to diagnose problems with the feed conversion ratio. Click on the flowchart or on the buttons within the text to navigate through the different parts of the tool.A biweekly newsletter with the latest developments in swine nutritionArticles on genetics and pig reproduction: genetic improvement, genomics, artificial insemination, use of hormonesCompare production data, calculate the number of sow, nursery, and finishing spaces, and visualize your tasks on the work schedule by type of BMS.Tool that allows you to calculate the replacement rate in your farmDefinition for the most commonly used pig termsUse this tool to find out why your farrowing rate is less than ideal. Click on the flowchart or on the buttons found within the text to navigate through the different parts of the tool.Weekly newsletter with all the pig333.com updatesManagement, pig farm management, work planning in each production stage: management in gestation, grow finish, batch farrowingCompare production data, calculate the number of sow, nursery, and finishing spaces, and visualize your tasks on the work schedule by type of BMS.Tool that allows you to calculate the replacement rate in your farmDefinition for the most commonly used pig termsWeekly newsletter with all the pig333.com updatesDesign of facilities and equipment for pig farms: building design, climate control, feeding systems, etc.Biocheck.UGent is an independent, risk-based, scientific scoring system for assessing the quality of your on-farm biosecurity.Environmental Footprint Calculator along the pork value chain.Definition for the most commonly used pig termsSimulator that calculates the amount of drug to add to the water when using a flow dispenser.Use this tool to explore which slurry management strategy best fits your situation. Click on the flow chart or on the buttons within the text to navigate through the different parts of the tool.Weekly newsletter with all the pig333.com updatesHere you can find the latest news on pig and pork production. To receive the news by email you just have to subscribe.Outbreaks of African swine fever have occurred for the first time in Malaysia. Domestic pigs and wild boar affected.The first reported case involved wild boar mortality. Following the death of wild boar in Kinabatangan (which tested negative with conventional PCR by Sabah Department of Veterinary Services Laboratory), the disease investigation was extended to the neighboring district, where the first case of mortality involving backyard pigs in Pitas was reported. After the laboratory confirmation, the surveillance was intensified and extended to other districts encompassing the 50 km radius from the index case. The Sabah Wildlife Department reported on the wild boar mortality in Beluran district, where samples were taken and found positive for African swine fever. Surveillance then expanded outside the containment zone to cover the whole Sabah State. Currently, surveillance is conducted and intensified in the whole country.Four outbreaks on backyard farms were recorded, affecting 212, 7, 78, and 6 domestic pigs respectively. Five wild boar were also affected.February 25, 2021/ OIE. https://www.oie.int/Access restricted to 333 users. In order to post a comment you must be logged in.Weekly newsletter with all the pig333.com updatesLog in and sign up on the listAfrican swine fever has now been reported in three states in the country in both domestic pigs and wild boar.See the current African swine fever situation by country in this update from the FAO.Welcome to 333Connect, share, and interact with the largest community of professionals in the swine industry.Celebrating 169487Users on 333!;Error
2;2;25/02/2022;11/02/2025;MN002;Kinabatangan, Sabah;Four outbreaks on backyard farms were recorded, affecting 212, 7, 78, and 6 domestic pigs respectively. Five wild boar were also affected.;"""babi"", ""bangkai babi"", ""virus ASF"", ""virus babi"", ""kematian babi"", pigs"", ""ASF"", ""Malaysia""";https://www.thestar.com.my/news/nation/2024/01/19/pay-serious-attention-to-african-swine-fever-urge-wildlife-experts;ASF;thestar;Friday, 19 Jan 2024;Pay serious attention to African Swine Fever, urge wildlife experts;"Friday, 19 Jan 2024A bearded pig in the Lower Kinabatangan Wildlife Sanctuary in Sabah. Such a sighting is not happening anymore since ASF hit Sabah. (Photo by Rudi Delvaux).KOTA KINABALU: The African Swine Fever (ASF) is not getting enough attention despite the disease having decimated the domestic and wild pigs population in Asia, Europe, and Africa, say wildlife experts.Prof Erik Meijaard, former chair of the International Union for Conservation of Nature (IUCN) Wild Pigs Specialist Group, and Prof Benoit Goossens of Cardiff University, said the near-100% fatality rate threatens food security, ecosystems and the lives and traditions of millions of people.Meijaard warned in a recent letter he authored in the journal Science that this socio-ecological disaster was currently overlooked and receiving insufficient attention.“ASF has devastated pig populations in Asia since 2018, but the impacts are especially significant on the island of Borneo,” he said in a statement on Friday (Jan 19).“ASF has led to local population crashes of bearded pigs, once the most numerous large mammal species on the island, of up to 100%.“This decline may render the species critically endangered, an international conservation status verging on extinction,” he added.Goossens, who co-authored the letter, said that bearded pigs played an essential role in ecosystem maintenance and socio-cultural practices.He said the once numerous pigs played an important role in steering ecological processes in Borneo’s tropical forest.“Local hunting studies indicate that bearded pigs constituted up to 81% of hunted wildlife weight in some villages, while Malaysia’s Sarawak once harvested up to a million bearded pigs each year.“How can the loss of such an integral species be overlooked?“Especially when there is no evidence indicating that wild pig populations in Borneo, or other South-East Asian islands can fully recover,” added Goossens, who is also the director of research outfit Danau Girang Field Centre in Sabah.Sabah Deputy Chief Minister Datuk Seri Dr Jeffrey Kitingan had in April last year said the ASF, which was first detected in Sabah in February 2021, was subsiding but that the state was still in the recovery phase.Kitingan said veterinary officials were monitoring the situation to ensure no new cases were detected in the state’s pig farms.The state Agriculture, Fisheries and Food Industry Minister also said 20 districts were affected by the ASF disease and all the districts remained in recovery as of Aug 31, 2022.He said the ban on wild boar hunting would also remain until Sabah was free from ASF.In May last year, the Bring Back Our Rare Animals (Bora) movement reported that the wild boar population was making a healthy recovery in the Tabin conservation area in the east coast.But the ASF has been detected in several countries including Singapore, Hong Kong and Philippines last year.Goossens said while ongoing clinical trials to develop an effective vaccine against ASF were showing positive results, he pointed out this was mostly relevant for domestic pigs.“Vaccinating wild pigs would require a whole different setup, such as oral vaccination with baits, which is far from being ready.“Also, baiting wild pigs across Borneo would be logistically, hugely complex and expensive to implement,” he said.Both Meijaard and Goossens stressed that something needed to be done urgently.“Failing to acknowledge the socio-economic significance of the virus in low-income demographics, such as the indigenous tribes of Borneo, could result in the irreversible loss of species and the ecosystems, cultures, livelihoods, and communities they support to implement,” they said.They had called for urgent research and interventions, with the participation of rural communities, focusing on preventing the spread of ASF to other regions where people fundamentally depend on pigs.Thank you for your report!Copyright © 1995-                                                $(document).ready(function () {                         var theDate = new Date();                        $('#spanCopyright').text(theDate.getFullYear())                    })                 Star Media Group Berhad [197101000523 (10894-D)]Best viewed on Chrome browsers.We would love to keep you posted on the latest promotion. Kindly fill the form belowWe hope you enjoy this feature!";Error
3;3;17/12/2021;11/02/2025;MN003;Bidor, Sungkai, Jerantut;;"""babi"", ""bangkai babi"", ""virus ASF"", ""virus babi"", ""kematian babi"", pigs"", ""ASF"", ""Malaysia""";https://www.bernama.com/bm/news.php?id=2034893;ASF;bernama;17/12/2021 19:35;Penyakit ASF dikesan pada babi hutan di Bidor, Sungkai dan Jerantut - JPV;"KUALA LUMPUR, 17 Dis  -- Jabatan Perkhidmatan Veterinar (JPV) hari ini mengesahkan pengesanan penyakit Demam Babi Afrika (ASF) pada babi hutan di Bidor dan Sungkai, di Perak, serta Jerantut di Pahang.Penularan wabak itu disahkan oleh Institut Penyelidikan Veterinar (VRI), Ipoh melalui teknik Real-Time Polymerase Chain Reaction (RT-PCR) dan analisis sequencing yang menunjukkan virus jenis strain Genotype II pada 6 Dis (Perak) dan 7 Dis (Pahang).JPV dalam kenyataan media hari ini memaklumkan tindakan pengawalan dan pencegahan rebakan (outbreak) penyakit berkenaan telah dilaksanakan, antaranya memperketatkan syarat pindah babi di seluruh Semenanjung dan libat urus biosekuriti ladang oleh pengusaha ladang babi komersil.Langkah lain yang turut dijalankan adalah persampelan, pemantauan dan pemeriksaan klinikal di ladang dan rumah sembelih babi di seluruh negara serta mewujudkan kerjasama dengan pihak PERHILITAN, Polis Diraja Malaysia (PDRM), Angkatan Pertahanan Awam Malaysia (APM), Jabatan Kemajuan Orang Asli (JAKOA) dan agensi terlibat dalam perladangan sawit.“Bagaimanapun wabak berkenaan yang hanya melibatkan babi hutan adalah terkawal dan tidak melibatkan ladang babi komersil,” menurut kenyataan itu.Sementara itu JPV menasihatkan penternak babi dan orang awam untuk tidak panik kerana wabak berkenaan tidak berjangkit kepada manusia.“Penternak babi diminta meningkatkan biosekuriti di ladang babi masing-masing bagi mencegah penularan penyakit ASF pada babi komersil,” menurut kenyataan berkenaan.Selain itu, JPV menggalakkan penternak dan orang awam untuk melaporkan kematian luar biasa membabitkan babi hutan, babi kampung mahupun komersil, kepada Pejabat Perkhidmatan Veterinar Daerah (PPVD) dan Pejabat Perkhidmatan Veterinar Negeri yang berdekatan atau menghubungi Hotline Bilik Pengurusan Krisis Jabatan Perkhidmatan Veterinar Putrajaya dengan menelefon 03-88702041.-- BERNAMABERNAMA menyediakan informasi dan berita terkini yang sahih dan komprehensif yang disebarkan melalui Wires BERNAMA; www.bernama.com; BERNAMA TV di saluran Astro 502, unifi TV 631 dan MYTV 121 dan Radio BERNAMA di frekuensi FM93.9 (Lembah Klang), FM107.5 (Johor Bahru), FM107.9 (Kota Kinabalu) dan FM100.9 (Kuching).Ikuti kami di media sosial :Facebook : @bernamaofficial, @bernamatv, @bernamaradioTwitter      : @bernama.com, @BernamaTV, @bernamaradioInstagram : @bernamaofficial, @bernamatvofficial, @bernamaradioofficialTikTok       : @bernamaofficialBERNAMA, Pertubuhan Berita Nasional Malaysia merupakan Peneraju dalam perkhidmatan berita dan maklumat mempelawa calon warganegara Malaysia yang layak untuk menyertai kami :Sila layari portal kerjaya BERNAMA di https://kerjaya.bernama.com untuk maklumat lanjut. Permohonan hendaklah dibuat secara atas talian melalui portal kerjaya BERNAMA.PORTAL KERJAYA BERNAMAPara Pelanggan Yang Dihormati,Dimaklumkan bahawa soal selidik ini bertujuan untuk mendapatkan maklum balas pelanggan berhubung tahap pengamalan nilai-nilai murni di jabatan/agensi Kerajaan yang memberikan perkhidmatan kepada tuan/puan.Berdasarkan pengalaman atau pemerhatian semasa berurusan dengan BERNAMA, sila beri maklum balas kepada pernyataan-pernyataan yang berikut dalam konteks semasa. Kami menghargai maklum balas yang jujur dan rasional daripada anda.Maklum balas yang diberikan adalah SULIT.Terima kasih kerana sudi meluangkan masa untuk mengisi soal selidik ini.Sila klik pautan berikut:https://insan.jpa.gov.my/survey/agency/f90b1f53-f177-4760-82c7-f5f9d30200c6Wisma BERNAMA      No.28 Jalan BERNAMA      Off Jalan Tun Razak      50400 Kuala Lumpur      Malaysia[klik di sini] helpdesk[at]bernama.com• Am      • BernamaBiz      • Sukan      • Gaya Hidup      • Politik      • Dunia      • Infografik      • Video      • Siaran Media Eksklusif      • Arkib• Ramadan 1446H      • ASEAN 2025      • Fokus BERNAMA      • Tinta Minda      • MAPO      • MyCheck      • MCMC• Tengah      • Utara      • Selatan      • Timur      • Sabah      • Sarawak• Laman Korporat      • Hubungi Kami      • Perkhidmatan BERNAMA      • Kerjaya@BERNAMA      • Sebutharga / Tender      • Maklum Balas Pelanggan 2025&copy 2025 BERNAMA        • Penafian        • Dasar Privasi        • Dasar Keselamatan";Error
4;4;17/12/2021;11/02/2025;MN004;Bidor, Sungkai, Jerantut;;"""babi"", ""bangkai babi"", ""virus ASF"", ""virus babi"", ""kematian babi"", pigs"", ""ASF"", ""Malaysia""";https://www.freemalaysiatoday.com/category/nation/2021/12/17/african-swine-fever-found-in-wild-boar-in-perak-pahang/;ASF;fmt;2021-12-17T14:26:00Z;African swine fever found in wild boars in Perak, Pahang;African swine fever found in wild boars in Perak, PahangHowever, the spread of the viral disease is under control and has not affected commercial pigs, it said in a statement.The Veterinary Research Institute in Ipoh confirmed that it was a genotype 2 strain in Perak on Dec 6 and in Pahang on Dec 7.The department added that prevention measures have been imposed to curb the spread, including restricting pig movement and improved biosecurity at commercial farms across the peninsula.It is also conducting clinical surveillance on farms and abattoirs, as well as working closely with the wildlife and national parks department (Perhilitan), the police, the Malaysian Civil Defence Force, the Orang Asli development department, and oil palm plantation agencies.The public and farmers are advised not to panic because African swine fever cannot be transmitted to humans.“Swineherds have been told to increase the biosecurity on their farms to prevent the spread of the disease to commercial pigs,” the department added.It asked for the cooperation of farmers and the public to report unusual deaths involving wild boars, village and commercial pigs to their district and state branches, or call their crisis hotline at (03) 8870 2041.Stay current - Follow FMT on WhatsApp, Google news and TelegramRegistration on or use of this site constitutes acceptance of our Terms of Service, Privacy Policy and Cookies Policy.Copyright © 2009 - 2025 FMT Media Sdn Bhd (1235453-U) All Rights Reserved. A part of Media Prima Group.;Error
5;5;24/12/2021;11/02/2025;MN005;Melaka;tujuh ladang babi komersial di Paya Mengkuang di Masjid Tanah;"""babi"", ""bangkai babi"", ""virus ASF"", ""virus babi"", ""kematian babi"", pigs"", ""ASF"", ""Malaysia""";https://www.hmetro.com.my/mutakhir/2021/12/792494/penyakit-demam-babi-afrika-dikesan-di-melaka;ASF;hmetro;2021-12-24T19:13:36+08:00;Penyakit Demam Babi Afrika dikesan di Melaka;Melaka: Jabatan Perkhidmatan Veterinar (JPV) Malaysia hari ini mengesahkan berlaku penularan penyakit Demam Babi Afrika (ASF) di tujuh ladang babi komersial di Paya Mengkuang di Masjid Tanah, di sini. Ketua Pengarah JPV, Datuk Dr Norlizan Mohd Noor berkata, pengesanan penyakit itu ekoran penyiasatan dijalankan JPV susulan laporan penternak babi terbabit serta pengesahan sampel diuji di Makmal Veterinar Sepang pada 20, 22 dan 23 Disember. Beliau berkata, justeru, JPV mengambil langkah awal dan proaktif bagi mengawal dan membasmi penularan penyakit ASF antaranya mengeluarkan Notis Perintah Kuarantin ke atas ladang babi di kawasan Paya Mengkuang dan ternakan tidak dibenarkan keluar atau masuk kawasan terjangkit. Pemusnahan semua babi di ladang terjangkit berdasarkan Seksyen 19 Akta Binatang 1953 (Pindaan 2013) dan ternakan di ladang disahkan bebas jangkitan dibenarkan untuk penyembelihan di rumah sembelih diluluskan sahaja. Tetapi karkas dan daging babi tidak dibenarkan dibawa keluar ke negeri lain. This is a modal window. Beginning of dialog window. Escape will cancel and close the window. End of dialog window. Selain itu, syarat pindah ternakan babi dan produk babi di seluruh Semenanjung Malaysia diperketatkan serta pemantauan, pemeriksaan klinikal dan persampelan semua ladang babi di kawasan terjangkit serta ladang babi di seluruh negara dipergiatkan, katanya dalam kenyataan, di sini, hari ini. Beliau berkata pemantauan serta persampelan dipergiatkan di semua rumah sembelih babi di seluruh negara. Katanya, semua penternak babi dinasihatkan supaya tidak memberi haiwan berkenaan makanan sisa dapur (swill feeding) dan tidak membuang bangkai babi ke dalam sungai, kolam, kebun dan sebagainya.;Error
6;6;24/12/2021;11/02/2025;MN006;Melaka;tujuh ladang babi komersial di Paya Mengkuang di Masjid Tanah;"""babi"", ""bangkai babi"", ""virus ASF"", ""virus babi"", ""kematian babi"", pigs"", ""ASF"", ""Malaysia""";https://www.hmetro.com.my/mutakhir/2022/01/801067/13000-babi-dijangkiti-asf-dimusnahkan;ASF;hmetro;2022-01-17T18:01:20+08:00;13,000 babi dijangkiti ASF dimusnahkan; Putrajaya: Sebanyak 13,000 babi yang dikesan mengalami penyakit Demam Babi Afrika (ASF) di Paya Mengkuang, Masjid Tanah, Melaka sudah dimusnahkan olehJabatan Perkhidmatan Veterinar (DVS) setakat semalam. Ketua Pengarah Veterinar, Datuk Dr Norlizan Mohd Noor, berkata babi itu membabitkan 19 ladang dari 35 ladang ternakan yang dikesan menghidap penyakit itu di Paya Mengkuang. Menurutnya, baki 3,000 babi lagi yang dijangkiti virus itu akan dimusnahkan dalam masa terdekat bagi mengelak penularan yang lebih serius. Dijangkakan sehingga minggu ketiga (minggu depan) sebanyak 16,000 akan dimusnahkan. Usaha untuk memusnahkan haiwan ini bukanlah suatu perkara yang mudah kerana ia dilakukan dengan teliti membabitkan yang positif dijangkiti virus berkenaan, katanya ketika sidang media di sini, hari ini. Yang turut hadir, Pengarah Bahagian Regulatori DVS, Dr Mohamad Razali Abdul Razak. Sebelum ini media melaporkan, kes ASF dikesan di tujuh ladang babi di Paya Mengkuang, Melaka pada penghujung Disember tahun lalu. Dr Norlizan berkata, setakat ini terdapat 456 ladang babi di seluruh negara membabitkan 1.4 juta ekor babi. Menurutnya, DVS melaksanakan pemusnahan babi di ladang terjangkit berdasarkan Seksyen 19, Akta Binatang 1953 (Pindaan 2013). DVS mendapat kerjasama daripada beberapa jabatan dan agensi kerajaan termasuk pihak berkuasa tempatan (PBT) di Melaka. Penyakit bawaan babi itu tidak menjangkiti manusia sebaliknya, ia hanya membabitkan haiwan berkenaan sahaja dan haiwan yang dijangkiti masih boleh dimakan dengan syarat dagingnya perlu dimasak dengan menggunakan suhu kepanasan melebihi 60 darjah celcius, katanya.;Error
7;7;24/12/2021;11/02/2025;MN007;Melaka;tujuh ladang babi komersial di Paya Mengkuang di Masjid Tanah;"""babi"", ""bangkai babi"", ""virus ASF"", ""virus babi"", ""kematian babi"", pigs"", ""ASF"", ""Malaysia""";https://www.hmetro.com.my/mutakhir/2021/12/792685/penyakit-asf-dikesan-di-7-ladang-babi;ASF;hmetro;2021-12-25T13:45:25+08:00;Penyakit ASF dikesan di 7 ladang babi; Melaka: Jabatan Perkhidmatan Veterinar (DVS) mengesahkan kejadian penyakit African Swine Fever (ASF) berlaku di ladang babi komersil di Paya Mengkuang, Majid Tanah, Melaka. Timbalan Menteri Pertanian dan Industri Makanan I Datuk Seri Ahmad Hamzah berkata, sehingga semalam sebanyak tujuh ladang disahkan positif penyakit ASF dengan jumlah 5,438 babi. Katanya, DVS Negeri Melaka melakukan siasatan pada 18 Disember menerusi pemeriksaan post-mortem ke atas babi mati dan sampel organ dihantar ke Makmal Veterinar Zon Tengah, Salak Tinggi untuk pengesahan penyakit. Menurutnya, pada 20 Disember lalu, keputusan makmal mendapati babi berkenaan disahkan positif penyakit ASF. Tindakan sudah dan sedang dan akan dilaksanakan oleh pihak DVS bagi membendung, mengawal dan membasmi rebakan penyakit ASF termasuk notis di bawah Seksyen 18(2) Akta Binatang 1953 (Akta 647) yang dikeluarkan kepada pemilik ladang-ladang babi terbabit. Justeru pemindahan ternakan tidak dibenarkan keluar daripada kawasan itubagi membolehkan DVS menjalankan pemeriksaan dan ujian penyakit berkuatkuasa mulai 20 Disember 2021. Bagi ladang yang disahkan positif penyakit ASF, tindakan pemusnahan semua ternakan akan dijalankan oleh DVS. Sementara bagi ladang-ladang lain, ternakan babi yang sihat dibenarkan untuk disembelih di rumah sembelih Paya Mengkuang setelah pemeriksaan dilakukan, katanya pada majlis bantuan banjir di Lubok China pada hari ini. Walau bagaimanapun daging babi terbabit hanya dibenarkan untuk kegunaan negeri Melaka sahaja dan tiada karkas dibenarkan keluar ke negeri lain. Ahmad berkata, penyiasatan dan pemantauan lanjut di kawasan Paya Mengkuang sedang dijalankan bagi mengekang rebakan ASF. Menurutnya, terdapat 35 ladang babi komersil dengan 26penternak di Paya Mengkuang dengan jumlah populasi terkini membabitkan41,913 ekor. Dalam masa sama DVS juga menjalankan pemeriksaan dan persampelan ke atas semua 35 buah ladang di mana semua sampel yang diambil (darah atau organ) telah dihantar ke Makmal Veterinar Zon Tengah, Salak Tinggi untuk pengesahan penyakit. Beliau berkata, penyakit ASF tidak zoonotic dan tidak berjangkit kepada manusia, ia hanya boleh menjangkiti babi yang diternak atau babi hutan. Sehubungan itu, orang ramai dinasihatkan tidak panik, dan bagi yang mahu memasakbabi perlu pada suhu tinggi (melebihi 80oC) dalam tempoh yang lama (melebihi 20 minit) untk mematikan virus. Kerjasama orang awam dimohon supaya melaporkan segera sebarang kematian pada babi hutan kepada Pejabat Perkhidmatan Veterinar Daerah (PPVD) atau Pejabat Perkhidmatan Veterinar Negeri Melaka. #kw. Tujuh ladang babi disahkan positif ASF : Demam babi tak jangkitan manusia Keterangan gambar Melaka: 25.12.2021. Tujuh ladang babi disahkan positif ASF : Demam babi tak jangkitan manusia Pix 1- Timbalan Menteri Pertanian dan Industri Makanan I Datuk Seri Ahmad Hamzah .FOTO NAZRI ABU BAKAR Pix 2- Ahmad Hamzah (kiri) membantu misi bantuan banjir di Lubok China.FOTO NAZRI ABU BAKAR TAMAT From: Naz;Error
8;8;06/04/2022;11/02/2025;MN008;Sepang, Airport;roduk sosej daging babi yang dirampas daripada seorang warga China pada 26 Mac lalu di Lapangan Terbang Antarabangsa Kuala Lumpur (KLIA) didapati positif penyakit Demam Babi Afrika (ASF), menurut Jabatan Perkhidmatan Kuarantin dan Pemeriksaan Malaysia (MAQIS).;"""babi"", ""bangkai babi"", ""virus ASF"", ""virus babi"", ""kematian babi"", pigs"", ""ASF"", ""Malaysia""";https://www.bharian.com.my/berita/nasional/2022/04/942947/sosej-daging-babi-dirampas-positif-asf;ASF;bharian;2022-04-06T12:50:46+08:00;Sosej daging babi dirampas positif ASF;SEPANG: Produk sosej daging babi yang dirampas daripada seorang warga China pada 26 Mac lalu di Lapangan Terbang Antarabangsa Kuala Lumpur (KLIA) didapati positif penyakit Demam Babi Afrika (ASF), menurut Jabatan Perkhidmatan Kuarantin dan Pemeriksaan Malaysia (MAQIS). Menurut MAQIS, sosej daging babi seberat 10 kilogram yang dianggarkan bernilai RM350 itu dirampas daripada lelaki warga China yang meletakkannya dalam bagasi tangan. Beberapa sampel telah diambil daripada sosej daging babi berkenaan untuk diuji di Makmal Kesihatan Awam Veterinar dan hasil ujian makmal mendapati sosej itu positif untuk pengesanan penyakit ASF, kata MAQIS dalam kenyataan hari ini. Menurut MAQIS prosedur ujian itu dilakukan bagi mencegah penularan wabak penyakit dan dikhuatiri jika tidak dikawal boleh menyebabkan industri ternakan babi negara terjejas. Semua sosej yang dirampas akan dilupuskan mengikut prosedur operasi piawaian yang telah  ditetapkan, katanya. Malaysia mengenakan larangan membawa masuk produk babi dari negara yang mengalami wabak penyakit ASF termasuk penumpang di laluan udara yang membawa bagasi tangan bagi menghalang risiko kemasukan penyakit itu. Menurut MAQIS penyakit ASF mudah merebak dan mampu menyebabkan kadar kematian yang sangat tinggi hingga 100 peratus babi peliharaan yang boleh melumpuhkan industri ternakan babi dalam masa yang singkat. – BERNAMA;Error
9;9;09/04/2022;11/02/2025;MN009;Port Dickson;kes positif itu dikesan selepas sampel dua ekor babi diambil daripada 275 ekor haiwan itu di ladang;"""babi"", ""bangkai babi"", ""virus ASF"", ""virus babi"", ""kematian babi"", pigs"", ""ASF"", ""Malaysia""";https://www.sinarharian.com.my/article/197124/berita/semasa/penyakit-asf-dikesan-di-ladang-babi-port-dickson;ASF;sinarharian;2022-04-09T17:11:00+08:00;Penyakit ASF dikesan di ladang babi Port Dickson | Sinar Harian;PORT DICKSON - Jabatan Veterinar Negeri Sembilan mengesan penyakit Demam Babi Afrika (ASF) di sebuah ladang babi tidak berlesen di Kampung Baru Site A di Tanah Merah di sini. Exco Pertanian dan Industri Makanan Negeri Sembilan Datuk Bakri Sawir berkata, kes positif itu dikesan selepas sampel dua ekor babi diambil daripada 275 ekor haiwan itu di ladang berkenaan Khamis lalu. Sampel itu telah diambil semalam (Jumaat) dan disahkan positif ASF pada petangnya. Tindakan segera telah pun diambil dengan menyita ladang berkenaan selain meminta bantuan polis memantau kawasan membabitkan radius lima kilometer supaya tiada pergerakan keluar masuk, katanya ketika ditemui di lokasi pada Sabtu. Ujarnya, terdapat 20 ladang ternakan babi tidak berlesen di kawasan berkenaan dan kerajaan sebelum ini sudah mengeluarkan notis supaya menghentikan aktiviti itu. Penternak diminta menghentikan segera aktiviti penternakan tanpa lesen. Kita tidak mahu mengambil tindakan keras tetapi apabila berlaku kes begini kita perlu tegas. Penyakit daripada babi seperti virus nipah sudah pernah berlaku di Port Dickson pada tahun 1999 melibatkan lebih 100 kematian ternakan itu. Adakah kita mahu ia berulang, katanya. Sehubungan itu katanya, kerajaan negeri akan mengambil tindakan tegas mengikut undang-undang yang ada termasuk tindakan merobohkan kandang yang mempunyai kes positif ASF.   Bakri menambah, babi yang dikesan positif ASF itu dipercayai dibawa masuk dari Perak dan ASF tidak boleh menjangkiti manusia namun jika tidak dikawal ia boleh menjangkiti binatang lain.   Muat turun aplikasi Sinar Harian. Klik di sini!;Error
10;10;20/06/2022;11/02/2025;MN010;Kemaman, Terengganu;91 babi hutan ditemui mati akibat dijangkiti penyakit deman babi Afrika (ASF).;"""babi"", ""bangkai babi"", ""virus ASF"", ""virus babi"", ""kematian babi"", pigs"", ""ASF"", ""Malaysia""";https://www.hmetro.com.my/mutakhir/2022/07/859012/91-babi-mati-akibat-asf;ASF;hmetro;2022-07-06T16:54:27+08:00;91 babi mati akibat ASF; Chukai: Jabatan Perkhidmatan Veterinar (JPV) Negeri Terengganu mengesahkan sebanyak 91 babi hutan ditemui mati akibat dijangkiti penyakit deman babi Afrika (ASF). Pengarahnya, Dr Anum Man berkata, kesemua babi terbabit ditemui mati di sekitar kawasan hutan di Kampung Air Putih Kemaman bermula 20 Jun lalu. Menurutnya, pada 20 Jun, pihaknya  mengesan beberapa ekor babi hutan mati di kawasan itu dan mengambil sampel untuk dibuat ujian. Hasil ujian mendapati kematian babi itu disebabkan ASF dan sehingga 30 Jun, sebanyak 91 babi hutan mati di sekitar kawasan hutan terbabit. Kita percaya penyakit itu menular dipercayai berpunca daripada aliran air dan bawaan makanan daripada haiwan dari Taman Negara Jerantut, katanya. Dr Anum berkata, sebagai menyelesaikan penularan penyakit itu, pihaknya bekerjasama dengan Jabatan Perlindungan Hidupan Liar Dan Taman Negara (Perhilitan) dengan melakukan pemantauan sekitar jarak 10 kilometer daripada lokasi penyakit itu dikesan. Kita turut melupuskan kesemua babi terbabit dengan menanam haiwan itu termasuk proses nyah kuman, katanya. Katanya, ASF disebabkan virus bawaan kutu dari keluarga Asfarviridae dan vulirus ini mudah berjangkit dalam kumpulan babi. Katanya, sebagai langkah keselamatan, pihaknya melakukan pemantauan di seluruh negeri ini sebagai langkah mencegah penularan penyakit terbabit.;Error
