nomor;doc_id;species;date_publish;province;regency;subdistrict;village;source_web;carcase;level;url
1;N029;domestic;08/10/2019;sulawesi utara;minahasa;remboken;timu;kumparan;100;regency;https://kumparan.com/manadobacirita/100-ternak-babi-mati-mendadak-di-minahasa-dalam-3-bulan-1s0y657fN1W
2;N024;domestic;09/10/2019;sumatera utara;tapanuli utara;siatas barita;lumban siagian julu;tribun_medan;40;village;https://medan.tribunnews.com/2019/10/09/kolera-babi-serang-ternak-warga-tarutung-siatas-barita-babi-menggigil-lalu-mati
3;N025;domestic;15/10/2019;sumatera utara;dairi;tigalingga;tigalingga;tagar;700;subdistrict;https://www.tagar.id/700an-babi-mati-diserang-virus-aneh-di-dairi
4;N020;domestic;23/10/2019;sumatera utara;deli serdang;undetected;undetected;kumparan;1985;regency;https://kumparan.com/sumutnews/1-985-ekor-ternak-babi-di-sumut-terserang-virus-hog-cholera-1s71sNaT3KF
5;N020;domestic;23/10/2019;sumatera utara;humbang hasundutan;undetected;undetected;kumparan;;;https://kumparan.com/sumutnews/1-985-ekor-ternak-babi-di-sumut-terserang-virus-hog-cholera-1s71sNaT3KF
6;N020;domestic;23/10/2019;sumatera utara;karo;undetected;undetected;kumparan;;;https://kumparan.com/sumutnews/1-985-ekor-ternak-babi-di-sumut-terserang-virus-hog-cholera-1s71sNaT3KF
7;N020;domestic;23/10/2019;sumatera utara;samosir;undetected;undetected;kumparan;;;https://kumparan.com/sumutnews/1-985-ekor-ternak-babi-di-sumut-terserang-virus-hog-cholera-1s71sNaT3KF
8;N020;domestic;23/10/2019;sumatera utara;serdang bedagai;undetected;undetected;kumparan;;;https://kumparan.com/sumutnews/1-985-ekor-ternak-babi-di-sumut-terserang-virus-hog-cholera-1s71sNaT3KF
9;N020;domestic;23/10/2019;sumatera utara;simalungun;undetected;undetected;kumparan;;;https://kumparan.com/sumutnews/1-985-ekor-ternak-babi-di-sumut-terserang-virus-hog-cholera-1s71sNaT3KF
10;N020;domestic;23/10/2019;sumatera utara;tapanuli utara;undetected;undetected;kumparan;;;https://kumparan.com/sumutnews/1-985-ekor-ternak-babi-di-sumut-terserang-virus-hog-cholera-1s71sNaT3KF
11;N020;domestic;23/10/2019;sumatera utara;toba;undetected;undetected;kumparan;;;https://kumparan.com/sumutnews/1-985-ekor-ternak-babi-di-sumut-terserang-virus-hog-cholera-1s71sNaT3KF
12;N004;domestic;07/11/2019;sumatera utara;deli serdang;sunggal;helvetia;kompas_id;;;https://www.kompas.id/baca/utama/2019/11/07/kolera-mewabah-lebih-dari-4-600-babi-mati-di-sumut/
13;N004;domestic;07/11/2019;sumatera utara;humbang hasundutan;undetected;undetected;kompas_id;;;https://www.kompas.id/baca/utama/2019/11/07/kolera-mewabah-lebih-dari-4-600-babi-mati-di-sumut/
14;N004;domestic;07/11/2019;sumatera utara;karo;undetected;undetected;kompas_id;;;https://www.kompas.id/baca/utama/2019/11/07/kolera-mewabah-lebih-dari-4-600-babi-mati-di-sumut/
15;N004;domestic;07/11/2019;sumatera utara;kota medan;undetected;undetected;kompas_id;;;https://www.kompas.id/baca/utama/2019/11/07/kolera-mewabah-lebih-dari-4-600-babi-mati-di-sumut/
16;N004;domestic;07/11/2019;sumatera utara;pakpak bharat;undetected;undetected;kompas_id;;;https://www.kompas.id/baca/utama/2019/11/07/kolera-mewabah-lebih-dari-4-600-babi-mati-di-sumut/
17;N004;domestic;07/11/2019;sumatera utara;samosir;undetected;undetected;kompas_id;;;https://www.kompas.id/baca/utama/2019/11/07/kolera-mewabah-lebih-dari-4-600-babi-mati-di-sumut/
18;N004;domestic;07/11/2019;sumatera utara;simalungun;undetected;undetected;kompas_id;;;https://www.kompas.id/baca/utama/2019/11/07/kolera-mewabah-lebih-dari-4-600-babi-mati-di-sumut/
